file,distance_m,max_speed_mps,anomalies
route_2019-09-04_7.15pm.gpx,3347.13,15.764,2
route_2019-09-05_7.11pm.gpx,3939.42,11.138,0
route_2019-09-06_5.47pm.gpx,3654.11,19.506,4
route_2019-09-07_10.56am.gpx,1502.84,9.72,0
route_2019-09-08_5.11pm.gpx,1975.6,14.744,2
route_2019-09-10_11.05am.gpx,193.44,1.9,0
route_2019-09-11_3.51pm.gpx,1205.41,8.524,0
route_2019-09-12_1.02pm.gpx,2456.49,19.054,1
route_2019-09-13_8.04pm.gpx,452.7,17.854,2
route_2019-09-14_2.50pm.gpx,1472.39,11.377,0
route_2019-09-14_3.07pm.gpx,89.34,3.944,0
route_2019-09-16_7.25pm.gpx,1982.82,17.993,4
route_2019-09-19_6.37pm.gpx,1718.79,10.119,0
route_2019-09-20_6.51pm.gpx,0.0,0.0,0
route_2019-09-21_7.32pm.gpx,1739.56,43.795,5
route_2019-09-26_5.24pm.gpx,3017.05,68.886,6
route_2019-09-27_7.11pm.gpx,1623.27,14.468,1
route_2019-09-30_7.23pm.gpx,1747.84,23.545,6
route_2019-10-01_1.58pm.gpx,2167.73,15.234,126
route_2019-10-01_6.30pm.gpx,1998.92,9.674,0
route_2019-10-02_10.41am.gpx,17674.39,38.649,517
route_2019-10-02_7.43pm.gpx,1706.89,15.974,1
route_2019-10-05_8.24pm.gpx,2374.8,22.987,6
route_2019-10-06_1.32pm.gpx,843.7,8.344,0
route_2019-10-07_1.42pm.gpx,2432.75,25.702,3
route_2019-10-08_6.35pm.gpx,2327.97,26.986,2
route_2019-10-09_6.23pm.gpx,937.71,11.935,1
route_2019-10-11_5.42pm.gpx,2451.91,11.361,0
route_2019-10-15_5.58pm.gpx,1744.73,9.007,0
route_2019-10-16_5.50pm.gpx,1232.36,11.371,0
route_2019-10-16_6.02pm.gpx,430.54,8.93,0
route_2019-10-17_3.39pm.gpx,1377.42,59.57,3
route_2019-10-17_3.47pm.gpx,42.5,7.02,0
route_2019-10-17_5.48pm.gpx,1055.45,10.458,0
route_2019-10-18_1.53pm.gpx,1444.79,10.016,0
route_2019-10-23_6.34pm.gpx,1033.04,10.535,0
route_2019-10-24_11.43am.gpx,1462.14,9.197,0
route_2019-10-25_11.51am.gpx,2161.66,71.846,1
route_2019-10-27_4.13pm.gpx,2399.41,9.235,0
route_2019-10-29_4.34pm.gpx,2016.16,12.688,1
route_2019-10-31_6.10pm.gpx,1514.78,30.045,1
route_2019-11-02_2.11pm.gpx,2029.12,19.342,2
route_2019-11-02_2.39pm.gpx,462.24,26.978,3
route_2019-11-05_5.46pm.gpx,1599.05,44.247,1
route_2019-11-06_2.25pm.gpx,2150.52,26.03,1
route_2019-11-09_2.25pm.gpx,2751.4,11.388,0
route_2019-11-10_1.29pm.gpx,3223.26,61.955,8
route_2019-11-11_4.22pm.gpx,1714.23,10.01,0
route_2019-11-12_6.27pm.gpx,1809.33,14.151,1
route_2019-11-13_2.55pm.gpx,2405.49,61.104,2
route_2019-11-14_6.03pm.gpx,1615.18,9.448,0
route_2019-11-15_1.37pm.gpx,2701.65,15.169,4
route_2019-11-16_5.38pm.gpx,2945.26,20.438,3
route_2019-11-16_5.42pm.gpx,145.59,3.992,0
route_2019-11-17_3.26pm.gpx,2391.2,17.88,6
route_2019-11-17_3.34pm.gpx,157.58,13.702,1
route_2019-11-18_6.28pm.gpx,2495.16,13.675,3
route_2019-11-20_6.03pm.gpx,2080.72,23.353,6
route_2019-11-22_6.15pm.gpx,160.54,42.029,2
route_2019-11-24_5.36pm.gpx,676.86,7.047,0
route_2019-11-24_5.58pm.gpx,64.91,6.082,0
route_2019-11-27_7.07pm.gpx,1464.29,13.046,1
route_2019-11-28_10.23am.gpx,1484.06,10.949,0
route_2019-11-30_1.48pm.gpx,2880.89,20.758,5
route_2019-12-01_4.14pm.gpx,2167.76,13.637,1
route_2019-12-02_12.10pm.gpx,1827.65,21.352,2
route_2019-12-02_4.45pm.gpx,1462.11,9.483,0
route_2019-12-03_1.57pm.gpx,1678.04,14.969,1
route_2019-12-05_7.02pm.gpx,2348.33,26.118,4
route_2019-12-07_10.36am.gpx,2047.43,11.52,1
route_2019-12-08_4.45pm.gpx,1618.08,18.733,1
route_2019-12-09_5.59pm.gpx,1950.05,21.503,13
route_2019-12-10_5.02pm.gpx,2538.51,51.046,43
route_2019-12-11_10.47am.gpx,669.96,15.488,4
route_2019-12-11_12.27pm.gpx,1997.77,19.248,5
route_2019-12-11_4.57pm.gpx,774.94,80.517,6
route_2019-12-12_1.14pm.gpx,1695.56,8.346,0
route_2019-12-13_5.44pm.gpx,2614.69,34.682,19
route_2019-12-14_2.31pm.gpx,1806.14,19.949,1
route_2019-12-16_4.09pm.gpx,2137.42,12.477,1
route_2019-12-17_1.10pm.gpx,1003.92,57.692,3
route_2019-12-18_1.01pm.gpx,1849.28,15.661,1
route_2019-12-19_4.15pm.gpx,2215.64,17.463,3
route_2019-12-20_1.58pm.gpx,2377.24,14.095,41
route_2019-12-21_3.45pm.gpx,1899.35,41.966,3
route_2019-12-22_1.59pm.gpx,1363.83,15.12,2
route_2019-12-24_5.21pm.gpx,1486.12,13.383,1
route_2019-12-24_5.26pm.gpx,122.05,8.789,0
route_2019-12-26_7.32pm.gpx,1309.79,10.389,0
route_2019-12-27_7.31pm.gpx,980.21,9.17,0
route_2019-12-29_11.14pm.gpx,66.51,1.302,0
route_2019-12-29_3.12pm.gpx,1749.3,13.138,1
route_2019-12-31_1.25pm.gpx,1675.05,33.83,2
route_2020-01-01_3.47pm.gpx,1548.8,10.703,0
route_2020-01-02_12.08am.gpx,0.0,0.0,0
route_2020-01-04_6.31pm.gpx,1909.23,47.196,27
route_2020-01-08_2.31pm.gpx,1950.8,9.231,0
route_2020-01-11_12.30pm.gpx,1613.86,23.609,3
route_2020-01-12_1.58pm.gpx,1923.51,12.266,2
route_2020-01-12_2.04pm.gpx,88.25,9.867,0
route_2020-01-13_3.39pm.gpx,1596.88,15.034,5
route_2020-01-14_5.43pm.gpx,1523.94,20.097,1
